time,temp,year,month,day
0.85,42,2011,1,0
1.85,43,2011,1,0
2.85,42,2011,1,0
3.85,41,2011,1,0
4.85,41,2011,1,0
5.85,41,2011,1,0
6.85,41,2011,1,0
7.85,41,2011,1,0
8.85,43,2011,1,0
9.85,47,2011,1,0
10.85,49,2011,1,0
11.85,51,2011,1,0
12.85,50,2011,1,0
13.85,52,2011,1,0
14.85,52,2011,1,0
15.85,49,2011,1,0
16.85,47,2011,1,0
17.85,46,2011,1,0
19.85,46,2011,1,0
20.85,47,2011,1,0
21.85,51,2011,1,0
22.85,51,2011,1,0
23.85,47,2011,1,0
0.85,47,2011,1,1
2.1,45,2011,1,1
3.1333333333333333,46,2011,1,1
3.85,45,2011,1,1
6.083333333333333,50,2011,1,1
6.85,49,2011,1,1
9.85,49,2011,1,1
11.85,50,2011,1,1
12.85,51,2011,1,1
13.85,51,2011,1,1
14.85,50,2011,1,1
15.85,49,2011,1,1
16.85,47,2011,1,1
18.0,46,2011,1,1
18.85,46,2011,1,1
19.85,46,2011,1,1
21.85,40,2011,1,1
22.85,38,2011,1,1
23.85,36,2011,1,1
0.85,34,2011,1,2
1.85,32,2011,1,2
2.85,31,2011,1,2
3.85,30,2011,1,2
4.85,29,2011,1,2
5.85,29,2011,1,2
6.85,28,2011,1,2
7.85,28,2011,1,2
8.85,29,2011,1,2
9.85,30,2011,1,2
10.85,31,2011,1,2
11.85,33,2011,1,2
12.85,34,2011,1,2
13.85,35,2011,1,2
14.85,35,2011,1,2
16.85,34,2011,1,2
17.85,33,2011,1,2
18.85,34,2011,1,2
19.85,32,2011,1,2
20.85,32,2011,1,2
21.85,31,2011,1,2
22.85,31,2011,1,2
23.85,32,2011,1,2
0.85,31,2011,1,3
1.85,32,2011,1,3
2.85,32,2011,1,3
3.85,30,2011,1,3
4.85,31,2011,1,3
5.85,31,2011,1,3
6.85,31,2011,1,3
7.85,31,2011,1,3
8.85,32,2011,1,3
9.85,34,2011,1,3
10.85,35,2011,1,3
11.85,35,2011,1,3
12.85,38,2011,1,3
13.85,40,2011,1,3
14.85,39,2011,1,3
15.85,39,2011,1,3
16.85,38,2011,1,3
17.85,38,2011,1,3
18.85,37,2011,1,3
19.85,38,2011,1,3
20.85,37,2011,1,3
21.85,37,2011,1,3
22.85,36,2011,1,3
23.85,36,2011,1,3
0.85,35,2011,1,4
1.85,35,2011,1,4
2.85,35,2011,1,4
3.85,34,2011,1,4
4.85,34,2011,1,4
5.85,34,2011,1,4
6.85,34,2011,1,4
7.85,34,2011,1,4
8.85,33,2011,1,4
9.85,35,2011,1,4
10.85,36,2011,1,4
11.85,37,2011,1,4
12.85,38,2011,1,4
13.85,37,2011,1,4
14.85,37,2011,1,4
15.85,37,2011,1,4
16.85,36,2011,1,4
17.85,35,2011,1,4
18.85,34,2011,1,4
19.85,33,2011,1,4
20.85,32,2011,1,4
21.85,31,2011,1,4
22.85,31,2011,1,4
23.85,30,2011,1,4
0.85,29,2011,1,5
1.85,29,2011,1,5
2.85,28,2011,1,5
3.85,28,2011,1,5
4.85,28,2011,1,5
5.85,27,2011,1,5
6.85,27,2011,1,5
7.85,27,2011,1,5
8.85,28,2011,1,5
9.85,30,2011,1,5
10.85,31,2011,1,5
11.85,31,2011,1,5
12.85,31,2011,1,5
13.85,32,2011,1,5
14.85,33,2011,1,5
15.85,32,2011,1,5
16.85,32,2011,1,5
17.85,31,2011,1,5
19.85,30,2011,1,5
20.85,30,2011,1,5
21.85,30,2011,1,5
22.85,31,2011,1,5
0.85,31,2011,1,6
1.85,31,2011,1,6
2.85,32,2011,1,6
3.85,32,2011,1,6
4.85,32,2011,1,6
5.85,32,2011,1,6
7.116666666666666,30,2011,1,6
8.166666666666666,30,2011,1,6
9.85,32,2011,1,6
12.0,32,2011,1,6
13.033333333333333,34,2011,1,6
13.85,33,2011,1,6
15.016666666666666,32,2011,1,6
15.85,32,2011,1,6
16.85,31,2011,1,6
17.85,30,2011,1,6
18.85,30,2011,1,6
19.85,29,2011,1,6
20.85,28,2011,1,6
21.85,28,2011,1,6
22.85,26,2011,1,6
23.85,25,2011,1,6
0.85,25,2011,1,7
1.85,24,2011,1,7
2.85,24,2011,1,7
3.85,24,2011,1,7
5.85,25,2011,1,7
